canonical_name,aliases,ingredients,approval_numbers,example_instructions,record_count
"1,3二甲基黄嘌呤","1,3二甲基黄嘌呤",,,,1
131I,131I,,,,1
2-乙酰苯甲酸,2-乙酰苯甲酸,,,,1
4-羟托莫西汀,4-羟托莫西汀,,,,1
5-ASA,5-ASA,,,,1
5-FU/LV,5-FU/LV,,,,1
5-Fu,5-Fu|5-氟尿嘧啶,,,,1
5-氟尿嘧啶,5-FU|5-氟尿嘧啶|5-氟脲嘧啶,,,,3
5-氟脲嘧啶,5-氟脲嘧啶,,,,1
5-氨基水杨酸,5-ASA|5-氨基水杨酸,,,,2
5-羟色胺去甲肾上腺素再摄取抑制剂,5-羟色胺去甲肾上腺素再摄取抑制剂,,,,1
6-巯基嘌呤,6-巯基嘌呤,,,,1
ACE抑制剂,ACE制剂|ACE抑制剂,,,,3
Aclasta,Aclasta,,,,1
Aleviatin,Aleviatin|Aleviatin注射液,,,,1
BCG疫苗,BCG疫苗,,,,1
Bitashimin,Bitashimin|BitashiminVc|BitashiminVc注射液,,,,1
Buroakuto,Buroakuto,,,,1
CF,CF,,,,1
CYP3A4,CYP3A4,,,,1
CYP3A4强抑制剂,CYP3A4强抑制剂,,,,1
D,D|D分散片|阿奇霉素。,阿奇霉素。,,以阿奇霉素分散片治疗感染性疾病，其疗程及使用方法如下：用水分散后口服或直接吞服成沙眼衣原体或敏感淋球菌所致性传播疾病，仅需单次口服本品1.0g.对其他感染的治疗：总剂量1.5g，分三次服药；一日1次服用本品0.5g。或总剂量相同，仍为1.5g，首日服用0.5g，然后第二至第五日一日1次口服本品0.25g.如发生超量使用(尚未有报道)，可进行洗胃或用一般支持疗法。,1
D860,D860,,,,2
Delavirdine,Delavirdine,,,,1
FAC,FAC,,,,1
Fulumarin,Fulumarin,,,,1
GLP-1受体激动剂,GLP-1受体激动剂,,,,1
H2受体拮抗剂,H2受体拮抗剂,,,,1
HMG-COA还原酶抑制剂,HMG-COA还原酶抑制剂,,,,1
IA类抗心律失常药,IA类抗心律失常药,,,,2
IFL,IFL,,,,1
III类抗心律失常药,III类抗心律失常药,,,,1
L-色氨酸,L-色氨酸,,,,1
MylantaⅡ,MylantaⅡ,,,,1
M胆碱酯酶药,M胆碱酯酶药,,,,1
N-去甲基托莫西汀,N-去甲基托莫西汀,,,,1
OLanzapineTablets,OLanzapineTablets|奥氮平。,奥氮平。,,精神分裂症：奥氮平的建议起始剂量为10mg/天，每日一次，与进食无关。在精神...,3
Olestra,Olestra,,,,2
P-糖蛋白,P-糖蛋白,,,,1
Puremarin,Puremarin|静注用Puremarin,,,,1
S-华法林,S-华法林,,,,1
VP-16,VP-16,,,,1
indinavir,indinavir,,,,1
retonavir,retonavir,,,,1
ritonavir,ritonavir,,,,1
saquinavir,saquinavir,,,,1
α-2a干扰素,α-2a干扰素,,,,1
α-受体阻滞剂,α-受体阻滞剂,,,,1
α-干扰素,α-干扰素,,,,3
α-甲基多巴,α-甲基多巴,,,,1
α-硫辛酸,α-硫辛酸|α-硫辛酸注射液|活性成份为α-硫辛酸辅料乙二胺注射用水。,,国药准字J20090105,1.本品可用于静脉注射。静脉注射应缓慢，最大速度为每分钟50 mg α-硫辛酸 (相当于2 mL本注射液)。 2.本品也可加入生理盐水静脉滴注，如250-500 mg α-硫辛酸 (相当于10-20 mL本注射液) 加入100-250 mL生理盐水中，静脉滴注时间约30分钟。 3.除非有特别医嘱对严重糖尿病周围神经病变引起的感觉异常的患者，可用静脉滴注给药，每天300-600 mg (相当于12-,3
α1受体阻滞药,α1受体阻滞药,,,,2
α受体拮抗药,α受体拮抗药,,,,1
