entity_id,canonical_name,aliases,source_records,suggested_canonical,reason
Drug::5asa,5-ASA,5-ASA,1,5-氨基水杨酸,dictionary_match
Drug::5fu,5-Fu,5-FU|5-Fu|5-氟尿嘧啶,8,氟尿嘧啶,dictionary_match
Drug::5氟尿嘧啶,5-氟尿嘧啶,5-氟尿嘧啶|5-氟脲嘧啶,11,5-氟脲嘧啶,alias_dictionary_match
Drug::d860,D860,D|D 860|D-860|D860,21,阿奇霉素,alias_dictionary_match
Drug::d分散片,D分散片,D分散片,1,阿奇霉素,dictionary_match
Drug::olanzapinetablets,OLanzapine Tablets,OLanzapine Tablets,3,奥氮平,dictionary_match
Drug::retonavir,retonavir,retonavir,1,利托那韦,dictionary_match
Drug::saquinavir,saquinavir,saquinavir,1,沙奎那韦,dictionary_match
Drug::万艾可,万艾可,万艾可,1,西地那非,dictionary_match
Drug::丙吡胺,丙吡胺,丙吡胺|双异丙吡胺,49,双异丙吡胺,alias_dictionary_match
Drug::丙戊酸钠,丙戊酸钠,丙戊酸钠|丙戊酸钠片|丙戊酸钠糖浆|丙戊酸钠缓释片|戊酸钠口服溶液,129,戊酸钠口服溶液,alias_dictionary_match
Drug::丙氨酰谷氨酰胺,丙氨酰-谷氨酰胺,丙氨酰-谷氨酰胺注射液|丙氨酰谷氨酰胺注射液,6,丙氨酰谷氨酰胺,alias_dictionary_match
Drug::乙醇,乙醇,乙醇,80,酒精,dictionary_match
Drug::二甲双胍,二甲双胍,metformin|二甲双胍|二甲双胍片|二甲双胍缓释片|二甲双胍肠溶片|盐酸二甲双胍片,178,盐酸二甲双胍,alias_dictionary_match
Drug::伊贝沙坦,伊贝沙坦,伊贝沙坦,1,厄贝沙坦,dictionary_match
Drug::伊贝沙坦片,伊贝沙坦片,伊贝沙坦片,3,厄贝沙坦,dictionary_match
Drug::伟哥,伟哥,伟哥,1,西地那非,dictionary_match
Drug::依他尼酸,依他尼酸,依他尼酸|利尿酸,52,利尿酸,alias_dictionary_match
Drug::依托泊苷,依托泊苷,Vp-16|依托泊苷|依托泊苷胶囊,17,VP-16,alias_dictionary_match
Drug::依托芬那酯,依托芬那酯,依托芬那酯喷雾剂,3,依托芬那酯凝胶,dictionary_match
Drug::依那普利,依那普利,依那普利|马来酸依那普利片,42,马来酸依那普利,alias_dictionary_match
Drug::倍他乐克,倍他乐克,倍他乐克,2,美托洛尔,dictionary_match
Drug::克霉唑,克霉唑,克霉唑,11,克霉唑阴道,dictionary_match
Drug::其他含有解热镇痛药的药品,其他含有解热镇痛药的药品,其他含有解热镇痛药的药品,10,解热镇痛药,dictionary_match
Drug::其他降压药,其他降压药,其他降压药,1,降压药,dictionary_match
Drug::利托那韦,利托那韦,RTV|retonavir|ritonavir|利多那韦|利托那韦|利托那韦片,243,ritonavir,alias_dictionary_match
Drug::别嘌醇,别嘌醇,别嘌呤醇|别嘌醇|别嘌醇片|别嘌醇缓释片,115,别嘌呤醇,alias_dictionary_match
Drug::匹多莫德,匹多莫德,匹多莫德口服液,3,匹多莫德口服溶液,dictionary_match
Drug::华法令,华法令,华法令|华法令或其衍生物,137,华法林,dictionary_match
Drug::华法林,华法林,War|warfarin|华发令|华法令|华法令片|华法林|华法林片|法华林|苄丙酮香豆素,830,法华林,alias_dictionary_match
Drug::单硝酸异山梨酯,单硝酸异山梨酯,单硝酸异山梨酯|单硝酸异山梨酯分散片|单硝酸异山梨酯喷雾剂|单硝酸异山梨酯注射液|单硝酸异山梨酯片|单硝酸异山梨酯缓释片|单硝酸异山梨酯胶囊,25,单硝酸异山梨酯缓释胶囊Ⅰ,dictionary_match
Drug::卡莫司汀,卡莫司汀,卡氮芥|卡莫司汀,3,卡氮芥,alias_dictionary_match
Drug::卡马西平,卡马西平,卡马西平|卡马西平片|酰胺咪嗪,488,酰胺咪嗪,alias_dictionary_match
Drug::双嘧达莫,双嘧达莫,双嘧哒莫|双嘧达莫|双嘧达莫片|潘生丁,28,潘生丁,alias_dictionary_match
Drug::双香豆素类,双香豆素类,双香豆素类|双香豆素类抗凝剂,8,双香豆素类抗凝剂,alias_dictionary_match
Drug::口服降糖药,口服降糖药,口服降糖药|口服降血糖药,58,口服降血糖药,alias_dictionary_match
Drug::可力,可力,可力,1,地高辛,dictionary_match
Drug::含有大量镁钙的药物,含有大量镁、钙的药物,含有大量镁、钙的药物,2,含镁钙药物,dictionary_match
