entity_id,canonical_name,aliases,source_records,suggested_canonical,reason
Drug::2amino1methyl6phenylimidazo45bpyridine,"2-amino-1-methyl-6-phenylimidazo[4,5-b]pyridine","2-amino-1-methyl-6-phenylimidazo[4,5-b]pyridine|PhiP",2,"2-amino-1-methyl-6-phenylimidazo4,5-bpyridine",suffix_stripped
Drug::2氨基1甲基6苯基咪唑并45b吡啶,"2-氨基-1-甲基-6-苯基咪唑并[4,5-b]吡啶","2-氨基-1-甲基-6-苯基咪唑并[4,5-b]吡啶",1,"2-氨基-1-甲基-6-苯基咪唑并4,5-b吡啶",suffix_stripped
Drug::eudragitl10055,Eudragit L100-55,Eudragit L100-55,1,EudragitL100-55,suffix_stripped
Drug::i3ii8双芹菜甙元,"I3, II8-双芹菜甙元","I3, II8-双芹菜甙元",1,"I3,II8-双芹菜甙元",suffix_stripped
Drug::phn7,PH n-7,PH n-7,1,PHn-7,suffix_stripped
Drug::rushpoppers,Rush Poppers,Rush Poppers,2,RushPoppers,suffix_stripped
Drug::stjohn'swort,St John's Wort,St John's Wort,1,StJohn'sWort,suffix_stripped
Drug::viekirapak,Viekira Pak,Viekira Pak,3,ViekiraPak,suffix_stripped
Drug::viekiraxr,Viekira XR,Viekira XR,1,ViekiraXR,suffix_stripped
Drug::vikierapak,Vikiera Pak,Vikiera Pak,1,VikieraPak,suffix_stripped
Drug::andexanetalfa,andexanet alfa,andexanet alfa,1,andexanetalfa,suffix_stripped
Drug::calciumgluconate,calcium gluconate,calcium gluconate,1,calciumgluconate,suffix_stripped
Drug::cholecystokininoctapeptide,cholecystokinin octapeptide,cck-8|cholecystokinin octapeptide,2,cholecystokininoctapeptide,suffix_stripped
Drug::glycyrrhizicacid,glycyrrhizic acid,glycyrrhizic acid,1,glycyrrhizicacid,suffix_stripped
Drug::lorazepamacetate,lorazepam acetate,lorazepam acetate,1,lorazepamacetate,suffix_stripped
Drug::valproicacid,valproic acid,valproic acid,1,valproicacid,suffix_stripped
Drug::ⅰ号口服液,Ⅰ号口服液,Ⅰ号口服液,1,Ⅰ号,suffix_stripped
Drug::丁维钙片,丁维钙片,丁维钙片,1,丁维钙,suffix_stripped
Drug::七厘散,七厘散,七厘散,1,七厘,suffix_stripped
Drug::三九胃泰胶囊,三九胃泰胶囊,三九胃泰胶囊,1,三九胃泰,suffix_stripped
Drug::三普红景天胶囊,三普红景天胶囊,三普红景天胶囊,2,三普红景天,suffix_stripped
Drug::三磷酸腺苷注射液,三磷酸腺苷注射液,三磷酸腺苷注射液,1,三磷酸腺苷,suffix_stripped
Drug::三黄丸,三黄丸,三黄丸,1,三黄,suffix_stripped
Drug::中华跌打丸,中华跌打丸,中华跌打丸,1,中华跌打,suffix_stripped
Drug::丹参注射液,丹参注射液,丹参注射液,4,丹参,suffix_stripped
Drug::丹参滴丸,丹参滴丸,丹参滴丸,1,丹参,suffix_stripped
Drug::丹参片,丹参片,丹参片,2,丹参,suffix_stripped
Drug::丹红注射液,丹红注射液,丹红注射液,12,丹红,suffix_stripped
Drug::乌梅丸,乌梅丸,乌梅丸,3,乌梅,suffix_stripped
Drug::乌贝散,乌贝散,乌贝散,3,乌贝,suffix_stripped
Drug::乳杆菌活菌胶囊,乳杆菌活菌胶囊,乳杆菌活菌胶囊,1,乳杆菌活菌,suffix_stripped
Drug::乳酸菌活细菌胶囊,乳酸菌活细菌胶囊,乳酸菌活细菌胶囊,1,乳酸菌活细菌,suffix_stripped
Drug::二盐酸西替利嗪片,二盐酸西替利嗪片,二盐酸西替利嗪片,1,二盐酸西替利嗪,suffix_stripped
Drug::五味子丸,五味子丸,五味子丸,1,降酶灵,suffix_stripped
Drug::五味子片,五味子片,五味子片,1,降酶灵,suffix_stripped
Drug::五脂片,五脂片,五脂片,1,五脂,suffix_stripped
Drug::五酯片,五酯片,五酯片,7,五酯,suffix_stripped
Drug::五酯胶囊,五酯胶囊,五酯胶囊,18,五酯,suffix_stripped
Drug::五酯软胶囊,五酯软胶囊,五酯软胶囊,1,五酯软,suffix_stripped
Drug::人血白蛋白注射液,人血白蛋白注射液,人血白蛋白注射液,1,人血白蛋白,suffix_stripped
Drug::优妥胶囊,优妥胶囊,优妥胶囊,2,优妥,suffix_stripped
Drug::佐匹克隆片,佐匹克隆片,佐匹克隆片,1,佐匹克隆,suffix_stripped
Drug::保婴散,保婴散,保婴散,1,保婴,suffix_stripped
Drug::健胃消食片,健胃消食片,健胃消食片,1,健胃消食,suffix_stripped
Drug::健胃颗粒,健胃颗粒,健胃颗粒,1,健胃,suffix_stripped
Drug::克感敏片,克感敏片,克感敏片,1,克感敏,suffix_stripped
Drug::克艾特胶囊,克艾特胶囊,克艾特胶囊,1,克艾特,suffix_stripped
Drug::八味檀香散,八味檀香散,八味檀香散,1,八味檀香,suffix_stripped
Drug::六味地黄丸,六味地黄丸,六味地黄丸,6,六味地黄,suffix_stripped
Drug::六神丸,六神丸,六神丸,3,六神,suffix_stripped
Drug::冰片,冰片,冰片,4,冰,suffix_stripped
Drug::冰硼散,冰硼散,冰硼散,2,冰硼,suffix_stripped
Drug::利多卡因注射液,利多卡因注射液,利多卡因注射液,1,利多卡因,suffix_stripped
Drug::利福平片,利福平片,利福平片,1,利福平,suffix_stripped
Drug::刺五加注射液,刺五加注射液,刺五加注射液,3,刺五加,suffix_stripped
Drug::加味左金丸,加味左金丸,加味左金丸,1,加味左金,suffix_stripped
Drug::劳拉西泮片,劳拉西泮片,劳拉西泮片,1,劳拉西泮,suffix_stripped
Drug::千里光片,千里光片,千里光片,1,千里光,suffix_stripped
Drug::华山参片,华山参片,华山参片,1,华山参,suffix_stripped
Drug::去痛片,去痛片,去痛片,3,去痛,suffix_stripped
Drug::参松养心胶囊,参松养心胶囊,参松养心胶囊,2,参松养心,suffix_stripped
Drug::参脉注射液,参脉注射液,参脉注射液,1,参脉,suffix_stripped
Drug::参附注射液,参附注射液,参附注射液,6,参附,suffix_stripped
Drug::参麦注射液,参麦注射液,参麦注射液,11,参麦,suffix_stripped
