entity_id,canonical_name,aliases,source_records,suggested_canonical,reason
Drug::13二甲基黄嘌呤,"1,3二甲基黄嘌呤","1,3二甲基黄嘌呤",1,,manual_review
Drug::1甲基4苄基吡啶,1-甲基-4-苄基吡啶,1-甲基-4-苄基吡啶,2,,manual_review
Drug::131i,131I,131I|碘-131,3,,manual_review
Drug::16o去甲基乌头次碱,16-O-去甲基乌头次碱,16-O-去甲基乌头次碱,1,,manual_review
Drug::16o去甲基乌头碱,16-O-去甲基乌头碱,16-O-去甲基乌头碱,1,,manual_review
Drug::17β雌二醇,17β雌二醇,17β雌二醇,1,,manual_review
Drug::18αgl,18α-GL,18α-GL,1,,manual_review
Drug::18α甘草次酸,18α-甘草次酸,18α-甘草次酸,1,,manual_review
Drug::18βgl,18β-GL,18β-GL,1,,manual_review
Drug::18β甘草次酸,18β-甘草次酸,18β-甘草次酸,2,,manual_review
Drug::18β甘草酸,18β-甘草酸,18β-甘草酸,1,,manual_review
Drug::2378四氯二苯并二噁英,"2,3,7,8-四氯二苯并二噁英","2,3,7,8-四氯二苯并二噁英",1,,manual_review
Drug::24二氨基嘧啶类药物,"2,4-二氨基嘧啶类药物","2,4-二氨基嘧啶类药物",1,,manual_review
Drug::24二羟基苯丙酸,"2,4-二羟基苯丙酸","2,4-二羟基苯丙酸",1,,manual_review
Drug::2乙酰苯甲酸,2-乙酰苯甲酸,2-乙酰苯甲酸,1,,manual_review
Drug::24乙酰泽泻醇,24-乙酰泽泻醇,24-乙酰泽泻醇,1,,manual_review
Drug::2fperacfuc,2FPerAcFuc,2FPerAcFuc,1,,manual_review
Drug::3硫酸雌酮,3-硫酸雌酮,3-硫酸雌酮,1,,manual_review
Drug::3tc,3TC,3TC,1,,manual_review
Drug::4'4''二羟基肠内酯,"4',4''-二羟基肠内酯","4',4''-二羟基肠内酯",1,,manual_review
Drug::4ipo,4-IPO,4-IPO,1,,manual_review
Drug::4羟托莫西汀,4-羟托莫西汀,4-羟托莫西汀,1,,manual_review
Drug::57二氢黄酮,"5,7-二氢黄酮","5,7-二氢黄酮",1,,manual_review
Drug::5fulv,5-FU/LV,5-FU/LV,1,,manual_review
Drug::5氟胞嘧啶,5-氟胞嘧啶,5-氟胞嘧啶,2,,manual_review
Drug::5氟脲嘧啶,5-氟脲嘧啶,5-氟脲嘧啶,1,,manual_review
Drug::5氨基水杨酸,5-氨基水杨酸,5-ASA|5-氨基水杨酸,9,,manual_review
Drug::5羟色胺再摄取抑制药,5-羟色胺再摄取抑制药,5-羟色胺再摄取抑制药,1,,manual_review
Drug::6丁香酚,6-丁香酚,6-丁香酚,1,,manual_review
Drug::6巯嘌呤,6-巯嘌呤,6-巯嘌呤,3,,manual_review
Drug::6巯基嘌呤,6-巯基嘌呤,6-巯基嘌呤,6,,manual_review
Drug::6硫嘌呤,6-硫嘌呤,6-硫嘌呤,1,,manual_review
Drug::6β羟基托品,6β-羟基托品,6β-羟基托品,1,,manual_review
Drug::7乙氧基试卤,7-乙氧基试卤,7-乙氧基试卤,1,,manual_review
