entity_id,canonical_name,aliases,source_records,suggested_canonical,reason
Drug::3d方案,3D方案,3D|3D方案,2,,pseudo_drug_like
Drug::5ht再摄取抑制剂,5-HT再摄取抑制剂,5-HT再摄取抑制剂,1,,pseudo_drug_like
Drug::5羟色胺3受体拮抗剂,5-羟色胺3受体拮抗剂,5-羟色胺3受体拮抗剂,1,,pseudo_drug_like
Drug::5羟色胺再摄取抑制剂,5-羟色胺再摄取抑制剂,5-羟色胺再摄取抑制剂,1,,pseudo_drug_like
Drug::5羟色胺去甲肾上腺素再摄取抑制剂,5-羟色胺去甲肾上腺素再摄取抑制剂,5-羟色胺去甲肾上腺素再摄取抑制剂,1,,pseudo_drug_like
Drug::ace抑制剂,ACE抑制剂,ACE制剂|ACE抑制剂,4,,pseudo_drug_like
Drug::ace转化酶抑制剂,ACE转化酶抑制剂,ACE转化酶抑制剂,2,,pseudo_drug_like
Drug::cdk46抑制剂,CDK4/6抑制剂,CDK4/6抑制剂,2,,pseudo_drug_like
Drug::chop方案,CHOP方案,CHOP方案,1,,pseudo_drug_like
Drug::cyp1a2,CYP1A2,CYP1A2,1,,pseudo_drug_like
Drug::cyp2b6,CYP2B6,CYP2B6,2,,pseudo_drug_like
Drug::cyp2c19,CYP2C19,CYP2C19,2,,pseudo_drug_like
Drug::cyp2c8,CYP2C8,CYP2C8,1,,pseudo_drug_like
Drug::cyp2c9,CYP2C9,CYP2C9,4,,pseudo_drug_like
Drug::cyp2d6,CYP2D6,CYP2D6,4,,pseudo_drug_like
Drug::cyp2d6抑制剂,CYP2D6抑制剂,CYP2D6抑制剂,1,,pseudo_drug_like
Drug::cyp3a,CYP3A,CYP3A,2,,pseudo_drug_like
Drug::cyp3a4,CYP3A4,CYP3A4,14,,pseudo_drug_like
Drug::cyp3a4强抑制剂,CYP3A4强抑制剂,CYP3A4强抑制剂,1,,pseudo_drug_like
Drug::cyp3a4抑制剂,CYP3A4抑制剂,CYP3A4抑制剂,1,,pseudo_drug_like
Drug::cyp3a4酶,CYP3A4酶,CYP3A4酶,1,,pseudo_drug_like
Drug::cyp3a5,CYP3A5,CYP3A5,1,,pseudo_drug_like
Drug::cyp450酶,CYP450酶,CYP450酶,1,,pseudo_drug_like
Drug::cyp450酶底物药物,CYP450酶底物药物,CYP450酶底物药物,1,,pseudo_drug_like
Drug::dpp4抑制剂,DPP-4 抑制剂,DPP-4 抑制剂|DPP-4抑制剂,2,,pseudo_drug_like
Drug::gaba抑制剂,GABA抑制剂,GABA抑制剂,1,,pseudo_drug_like
Drug::glp1受体激动剂,GLP-1受体激动剂,GLP-1受体激动剂,1,,pseudo_drug_like
Drug::h1受体拮抗剂,H1受体拮抗剂,H1受体拮抗剂,31,,pseudo_drug_like
Drug::h1拮抗剂,H1拮抗剂,H1拮抗剂,2,,pseudo_drug_like
Drug::h1组胺受体激动剂,H1组胺受体激动剂,H1组胺受体激动剂,1,,pseudo_drug_like
Drug::h2受体抑制剂,H2受体抑制剂,H2受体抑制剂,31,,pseudo_drug_like
Drug::h2受体拮抗剂,H2受体拮抗剂,H2受体拮抗剂|H2拮抗剂,3,,pseudo_drug_like
Drug::h2受体阻滞剂,H2受体阻滞剂,H2受体阻滞剂,31,,pseudo_drug_like
Drug::hiv蛋白酶抑制剂,HIV蛋白酶抑制剂,HIV蛋白酶抑制剂,3,,pseudo_drug_like
Drug::hmgcoa还原酶抑制剂,HMG-COA还原酶抑制剂,HMG-COA还原酶抑制剂,1,,pseudo_drug_like
Drug::maob抑制剂,MAO-B抑制剂,MAO-B抑制剂,1,,pseudo_drug_like
Drug::oatp1b1抑制剂,OATP1B1抑制剂,OATP1B1抑制剂,1,,pseudo_drug_like
Drug::oatp1b3抑制剂,OATP1B3抑制剂,OATP1B3抑制剂,1,,pseudo_drug_like
Drug::pgp,P-gp,P-gp,5,,pseudo_drug_like
Drug::pgp抑制剂,P-gp抑制剂,P-gp抑制剂,2,,pseudo_drug_like
Drug::parp抑制剂,PARP抑制剂,PARPi|PARP抑制剂,1,,pseudo_drug_like
Drug::pcsk9抑制剂,PCSK9抑制剂,PCSK9抑制剂,1,,pseudo_drug_like
Drug::pd1抑制剂,PD-1抑制剂,PD-1抑制剂|程序性死亡受体1抑制剂,1,,pseudo_drug_like
