:ID,:LABEL,entity_type,canonical_name,normalized_name,aliases,source_types,source_records:int,properties_json
Disease::1型糖尿病,Disease,Disease,1型糖尿病,1型糖尿病,1型糖尿病|I型糖尿病,structured|unstructured,12,{}
Disease::2型糖尿病,Disease,Disease,2型糖尿病,2型糖尿病,2型糖尿病|T2DM|Ⅱ型糖尿病|二型糖尿病|非胰岛素依赖型糖尿病,pdf|structured|unstructured,104,{}
Disease::2型糖尿病合并高脂血症,Disease,Disease,2型糖尿病合并高脂血症,2型糖尿病合并高脂血症,2型糖尿病合并高脂血症,structured,1,{}
Disease::acs,Disease,Disease,ACS,acs,ACS,unstructured,1,{}
Disease::adhd,Disease,Disease,ADHD,adhd,ADHD,pdf,1,{}
Disease::alk阳性非小细胞肺癌,Disease,Disease,ALK阳性非小细胞肺癌,alk阳性非小细胞肺癌,ALK阳性非小细胞肺癌|间变性淋巴瘤激酶（ALK）阳性的局部晚期或转移性非小细胞肺癌,structured,1,{}
Disease::a组溶血性链球菌感染,Disease,Disease,A组溶血性链球菌感染,a组溶血性链球菌感染,A组溶血性链球菌感染,unstructured,1,{}
Disease::brca突变,Disease,Disease,BRCA突变,brca突变,BRCA突变|乳腺癌易感基因突变,unstructured,3,{}
Disease::brca突变相关肿瘤,Disease,Disease,BRCA突变相关肿瘤,brca突变相关肿瘤,BRCA突变相关肿瘤|乳腺癌易感基因突变相关肿瘤,unstructured,1,{}
Disease::barrett食管,Disease,Disease,Barrett食管,barrett食管,Barrett食管,pdf,1,{}
Disease::brugada综合征,Disease,Disease,Brugada综合征,brugada综合征,Brugada综合征,unstructured,1,{}
Disease::b族维生素缺乏,Disease,Disease,B族维生素缺乏,b族维生素缺乏,B族维生素缺乏,structured,1,{}
Disease::caps,Disease,Disease,CAPS,caps,CAPS,pdf,1,{}
Disease::cml,Disease,Disease,CML,cml,CML|慢性粒细胞白血病,structured,1,{}
Disease::copd,Disease,Disease,COPD,copd,COPD,unstructured,2,{}
Disease::covid19,Disease,Disease,COVID-19,covid19,COVID-19,pdf|unstructured,10,{}
Disease::ct,Disease,Disease,CT,ct,CT,structured,1,{}
